test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
CLIP4,CLIP4,CLIP4,chr2:29097675-29183813,WT,DSL3,OK,6.59359,3.39152,-0.959131,-2.69605,5.00E-05,0.000189718,yes
CLK1,CLK1,CLK1,chr2:200853008-200864744,WT,DSL3,OK,8.58267,15.1442,0.819265,2.73731,5.00E-05,0.000189718,yes
CLK2,CLK2,CLK2,chr1_GL383519v1_alt:67890-78552,WT,DSL3,OK,5.47631,6.54492,0.25717,0.637525,0.23755,0.324247,no
CLK2P1,CLK2P1,CLK2P1,chr7:23584715-23586527,WT,DSL3,NOTEST,0.0944467,0.0397223,-1.24955,0,1,1,no
CLK3,CLK3,CLK3,chr15:74608371-74630201,WT,DSL3,OK,11.5003,7.18251,-0.679115,-2.11551,0.0006,0.00182114,yes
CLK4,CLK4,CLK4,chr5:178602663-178627053,WT,DSL3,OK,5.91084,6.97584,0.239002,0.803223,0.19165,0.273104,no
CLLU1,CLLU1,CLLU1,chr12:92420093-92431002,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLLU1OS,CLLU1OS,CLLU1OS,chr12:92420093-92431002,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLMN,CLMN,CLMN,chr14:95181938-95319908,WT,DSL3,NOTEST,0.0703904,0.0375157,-0.907886,0,1,1,no
CLMP,CLMP,CLMP,chr11:123072324-123195299,WT,DSL3,OK,70.5022,69.8855,-0.0126748,-0.0644383,0.9131,0.935229,no
CLN3,CLN3,CLN3,chr16:28466652-28492302,WT,DSL3,OK,16.4194,8.3386,-0.977526,-3.00768,5.00E-05,0.000189718,yes
CLN5,CLN5,CLN5,chr13:76991923-77002517,WT,DSL3,OK,3.2316,9.55957,1.5647,4.89926,5.00E-05,0.000189718,yes
CLN6,CLN6,CLN6,chr15:68206991-68229742,WT,DSL3,OK,11.2917,11.659,0.0461859,0.17546,0.7641,0.820197,no
CLN8,CLN8,CLN8,chr8_KI270926v1_alt:176361-199228,WT,DSL3,OK,3.47343,2.19898,-0.659524,-2.32862,5.00E-05,0.000189718,yes
CLNK,CLNK,CLNK,chr4:10490213-10684762,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLNS1A,CLNS1A,CLNS1A,chr11:77616150-77637806,WT,DSL3,OK,61.0769,66.7342,0.1278,0.705599,0.2258,0.311128,no
CLOCK,CLOCK,CLOCK,chr4:55427900-55546909,WT,DSL3,OK,7.65861,6.40996,-0.256767,-1.42801,0.0195,0.0391102,yes
CLP1,CLP1,CLP1,chr11:57657743-57661865,WT,DSL3,OK,7.00213,9.36729,0.419837,1.14886,0.0383,0.0706385,no
CLPB,CLPB,CLPB,chr11:72292425-72434684,WT,DSL3,OK,12.6317,14.5123,0.200226,0.869166,0.131,0.199695,no
CLPP,CLPP,CLPP,chr19:6361451-6368904,WT,DSL3,OK,44.9872,25.5213,-0.817809,-3.28755,5.00E-05,0.000189718,yes
CLPS,CLPS,CLPS,chr6:35794981-35797344,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLPSL1,CLPSL1,CLPSL1,chr6:35781053-35788064,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLPSL2,CLPSL2,CLPSL2,chr6:35776593-35779552,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLPTM1,CLPTM1,CLPTM1,chr19:44954584-44993346,WT,DSL3,OK,30.0961,31.7789,0.0784946,0.411804,0.4771,0.570963,no
CLPTM1L,CLPTM1L,CLPTM1L,chr5_KI270791v1_alt:169121-195710,WT,DSL3,OK,40.9335,49.4993,0.274125,1.43318,0.01295,0.0275615,yes
CLPX,CLPX,CLPX,chr15:65150445-65185225,WT,DSL3,OK,6.28353,7.1617,0.188727,0.666052,0.27285,0.363486,no
CLRN1,CLRN1,CLRN1,chr3:150926162-151079830,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLRN1-AS1,CLRN1-AS1,CLRN1-AS1,chr3:150926162-151079830,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLRN2,CLRN2,CLRN2,chr4:17515164-17527104,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLRN3,CLRN3,CLRN3,chr10:127877849-127892947,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLSPN,CLSPN,CLSPN,chr1:35732111-35769950,WT,DSL3,OK,10.9096,11.8582,0.120293,0.625723,0.2781,0.368985,no
CLSTN1,CLSTN1,CLSTN1,chr1:9651731-9824526,WT,DSL3,OK,28.3219,20.1331,-0.492349,-2.54761,5.00E-05,0.000189718,yes
CLSTN2,CLSTN2,CLSTN2,chr3:139935184-140568077,WT,DSL3,NOTEST,0,0.0545585,inf,0,1,1,no
CLSTN2-AS1,CLSTN2-AS1,CLSTN2-AS1,chr3:139935184-140568077,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLSTN3,CLSTN3,CLSTN3,chr12:7130370-7158934,WT,DSL3,NOTEST,1.19752,0.301108,-1.99169,0,1,1,no
CLTA,CLTA,CLTA,chr9:36190855-36212062,WT,DSL3,OK,185.307,184.343,-0.00752249,-0.0379592,0.94725,0.961771,no
CLTB,CLTB,CLTB,chr5:176392454-176416569,WT,DSL3,OK,44.3346,33.7438,-0.393809,-1.84107,0.0048,0.0115197,yes
CLTC,CLTC,CLTC,chr17:59619688-59696956,WT,DSL3,OK,37.4467,36.6362,-0.0315682,-0.155076,0.7916,0.84238,no
CLTCL1,CLTCL1,CLTCL1,chr22:19179473-19291716,WT,DSL3,NOTEST,0.744176,1.80435,1.27776,0,1,1,no
CLU,CLU,CLU,chr8:27596916-27614811,WT,DSL3,OK,111.779,94.1891,-0.247016,-1.21137,0.0338,0.0634733,no
CLUAP1,CLUAP1,CLUAP1,chr16:3500944-3577404,WT,DSL3,OK,2.97661,4.25766,0.516392,1.6605,0.0044,0.0106607,yes
CLUH,CLUH,CLUH,chr17:2689385-2711633,WT,DSL3,OK,31.1938,13.0286,-1.25958,-6.64377,5.00E-05,0.000189718,yes
CLUHP3,CLUHP3,CLUHP3,chr16:31700612-31707424,WT,DSL3,NOTEST,0.836987,0.0601134,-3.79945,0,1,1,no
CLUL1,CLUL1,CLUL1,chr18:596997-712662,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLVS1,CLVS1,CLVS1,chr8:61287965-61714640,WT,DSL3,NOTEST,0.0297202,0,#NAME?,0,1,1,no
CLVS2,CLVS2,CLVS2,chr6:122995970-123072919,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLYBL,CLYBL,CLYBL,chr13:99606663-99957165,WT,DSL3,NOTEST,1.28102,1.86407,0.541166,0,1,1,no
CLYBL-AS1,CLYBL-AS1,CLYBL-AS1,chr13:99606663-99957165,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CLYBL-AS2,CLYBL-AS2,CLYBL-AS2,chr13:99606663-99957165,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CMA1,CMA1,CMA1,chr14:24505354-24508265,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CMAHP,CMAHP,CMAHP,chr6:25081066-25138392,WT,DSL3,NOTEST,0.156445,0,#NAME?,0,1,1,no
CMAS,CMAS,CMAS,chr12:22046175-22065672,WT,DSL3,OK,13.0684,15.7613,0.270307,1.05589,0.08345,0.136999,no
CMBL,CMBL,CMBL,chr5:10277594-10308056,WT,DSL3,NOTEST,2.07688,0.633202,-1.71368,0,1,1,no
CMC1,CMC1,CMC1,chr3:28241632-28319772,WT,DSL3,OK,28.3726,11.7553,-1.27119,-2.83682,5.00E-05,0.000189718,yes
CMC2,CMC2,CMC2,chr16:80975801-81033104,WT,DSL3,OK,29.2608,28.6387,-0.0310049,-0.0710739,0.9055,0.929478,no
CMC4,CMC4,CMC4,chrX:155061624-155071272,WT,DSL3,OK,18.6785,15.6116,-0.258765,-0.912166,0.19045,0.271656,no
CMIP,CMIP,CMIP,chr16:81445169-81711763,WT,DSL3,OK,4.80567,1.26742,-1.92284,-3.70114,5.00E-05,0.000189718,yes
CMKLR1,CMKLR1,CMKLR1,chr12:108288043-108339317,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CMPK1,CMPK1,CMPK1,chr1:47333796-47378839,WT,DSL3,OK,37.9938,44.66,0.23322,1.21136,0.04395,0.0794412,no
CMPK2,CMPK2,CMPK2,chr2:6840552-6866635,WT,DSL3,OK,0,5.50455,inf,#NAME?,5.00E-05,0.000189718,yes
CMSS1,CMSS1,CMSS1,chr3:99816631-100178632,WT,DSL3,OK,48.4216,49.7693,0.0396059,0.190743,0.74935,0.810343,no
CMTM1,CMTM1,CMTM1,chr16:66552562-66579135,WT,DSL3,NOTEST,2.31997,1.60599,-0.530644,0,1,1,no
CMTM2,CMTM2,CMTM2,chr16:66579447-66588274,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CMTM3,CMTM3,CMTM3,chr16:66604031-66613893,WT,DSL3,OK,8.09519,1.73908,-2.21874,-3.65288,5.00E-05,0.000189718,yes
CMTM4,CMTM4,CMTM4,chr16:66614749-66696707,WT,DSL3,NOTEST,1.85271,1.16791,-0.665708,0,1,1,no
CMTM5,CMTM5,CMTM5,chr14:23376807-23379772,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CMTM6,CMTM6,CMTM6,chr3:32481311-32502911,WT,DSL3,OK,19.8346,15.8153,-0.326698,-1.74172,0.00425,0.0103339,yes
CMTM7,CMTM7,CMTM7,chr3:32391670-32454841,WT,DSL3,OK,15.8034,4.08808,-1.95074,-3.83774,5.00E-05,0.000189718,yes
CMTM8,CMTM8,CMTM8,chr3:32238678-32370321,WT,DSL3,NOTEST,2.6372,1.05128,-1.32686,0,1,1,no
CMTR1,CMTR1,CMTR1,chr6:37433130-37481508,WT,DSL3,OK,5.66005,10.8787,0.942619,3.96345,5.00E-05,0.000189718,yes
CMTR2,CMTR2,CMTR2,chr16:71282299-71289606,WT,DSL3,OK,6.61326,5.57202,-0.247162,-0.927224,0.10235,0.163022,no
CMYA5,CMYA5,CMYA5,chr5:79689835-79800226,WT,DSL3,NOTEST,0.0421932,0.0601456,0.511447,0,1,1,no
CNBD1,CNBD1,CNBD1,chr8:86866447-87382727,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNBD2,CNBD2,CNBD2,chr20:35968580-36030700,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNBP,CNBP,CNBP,chr3:129167814-129183967,WT,DSL3,OK,37.107,58.2799,0.651306,3.28249,5.00E-05,0.000189718,yes
CNDP1,CNDP1,CNDP1,chr18:74534456-74585026,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNDP2,CNDP2,CNDP2,chr18:74496264-74523454,WT,DSL3,OK,7.53078,4.59762,-0.711912,-3.19334,5.00E-05,0.000189718,yes
CNEP1R1,CNEP1R1,CNEP1R1,chr16:50025205-50037088,WT,DSL3,OK,5.93206,3.92019,-0.597611,-1.35722,0.0118,0.0253694,yes
CNFN,CNFN,CNFN,chr19:42387018-42390292,WT,DSL3,OK,10.7744,0.345177,-4.96412,-1.58721,0.15815,0.233269,no
CNGA1,CNGA1,CNGA1,chr4:47593997-48012944,WT,DSL3,NOTEST,0,0.042183,inf,0,1,1,no
CNGA2,CNGA2,CNGA2,chrX:151734745-151745564,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNGA3,CNGA3,CNGA3,chr2:98346154-98398601,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNGA4,CNGA4,CNGA4,chr11:6239091-6244477,WT,DSL3,NOTEST,0,0.0434489,inf,0,1,1,no
CNGB1,CNGB1,CNGB1,chr16:57882339-57971116,WT,DSL3,NOTEST,0.0210316,0,#NAME?,0,1,1,no
CNGB3,CNGB3,CNGB3,chr8:86573934-86743675,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNIH1,CNIH1,CNIH1,chr14:54426928-54441430,WT,DSL3,OK,54.6288,42.7374,-0.354163,-1.93923,0.0029,0.00741715,yes
CNIH2,CNIH2,CNIH2,chr11:66278200-66284214,WT,DSL3,OK,5.29947,6.49288,0.29301,0.402036,0.3605,0.456606,no
CNIH3,CNIH3,CNIH3,chr1:224616476-224740547,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNIH4,CNIH4,CNIH4,chr1:224356810-224379451,WT,DSL3,OK,20.1803,21.5296,0.093378,0.299478,0.6005,0.684226,no
CNKSR1,CNKSR1,CNKSR1,chr1:26177489-26189884,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNKSR2,CNKSR2,CNKSR2,chrX:21374417-21654695,WT,DSL3,NOTEST,0.0261047,0,#NAME?,0,1,1,no
CNKSR3,CNKSR3,CNKSR3,chr6:154405298-154510619,WT,DSL3,OK,7.64017,9.19027,0.266501,1.06273,0.06745,0.114153,no
CNN1,CNN1,CNN1,chr19:11538716-11550323,WT,DSL3,NOTEST,0.321104,0,#NAME?,0,1,1,no
CNN2,CNN2,CNN2,chr19:1026274-1039068,WT,DSL3,OK,55.883,65.3847,0.226543,1.21374,0.0389,0.0715666,no
CNN3,CNN3,CNN3,chr1:94896948-94927223,WT,DSL3,OK,168.412,119.347,-0.496832,-2.53982,5.00E-05,0.000189718,yes
CNNM1,CNNM1,CNNM1,chr10:99329098-99394331,WT,DSL3,NOTEST,0.0461169,0,#NAME?,0,1,1,no
CNNM2,CNNM2,CNNM2,chr10:102918317-103078587,WT,DSL3,NOTEST,1.63313,0.897522,-0.863616,0,1,1,no
CNNM3,CNNM3,CNNM3,chr2:96816253-96835384,WT,DSL3,NOTEST,2.25875,1.07958,-1.06505,0,1,1,no
CNNM4,CNNM4,CNNM4,chr2:96760901-96811891,WT,DSL3,NOTEST,1.71526,1.19992,-0.515488,0,1,1,no
CNOT1,CNOT1,CNOT1,chr16:58515478-58629886,WT,DSL3,OK,36.2861,24.6164,-0.559799,-2.63486,5.00E-05,0.000189718,yes
CNOT10,CNOT10,CNOT10,chr3:32685144-32773875,WT,DSL3,OK,15.3114,13.903,-0.139214,-0.615827,0.29265,0.385009,no
CNOT11,CNOT11,CNOT11,chr2:101252882-101270316,WT,DSL3,OK,8.12588,10.7006,0.397092,1.45988,0.0118,0.0253694,yes
CNOT2,CNOT2,CNOT2,chr12:70222190-70354993,WT,DSL3,OK,13.6785,21.5711,0.657193,3.31872,5.00E-05,0.000189718,yes
CNOT3,CNOT3,CNOT3,chr19_KI270938v1_alt:112548-134594,WT,DSL3,OK,8.59809,11.444,0.412505,1.40749,0.01325,0.028072,yes
CNOT4,CNOT4,CNOT4,chr7:135361794-135510127,WT,DSL3,OK,5.71696,8.8666,0.633133,2.54104,5.00E-05,0.000189718,yes
CNOT6,CNOT6,CNOT6,chr5:180494398-180578405,WT,DSL3,OK,8.50602,7.48322,-0.184825,-0.945625,0.1184,0.184028,no
CNOT6L,CNOT6L,CNOT6L,chr4:77713386-77819390,WT,DSL3,NOTEST,2.20423,1.41993,-0.634458,0,1,1,no
CNOT7,CNOT7,CNOT7,chr8:17229230-17246878,WT,DSL3,OK,59.5095,56.431,-0.0766317,-0.414475,0.5021,0.595183,no
CNOT8,CNOT8,CNOT8,chr5:154858248-154876792,WT,DSL3,OK,17.5973,16.0874,-0.129421,-0.588552,0.2987,0.391872,no
CNP,CNP,CNP,chr17:41966740-42038026,WT,DSL3,OK,14.1024,16.2522,0.204691,0.609762,0.28545,0.377158,no
CNPPD1,CNPPD1,CNPPD1,chr2:219171896-219176980,WT,DSL3,OK,16.5159,9.37781,-0.816536,-3.00364,5.00E-05,0.000189718,yes
CNPY1,CNPY1,CNPY1,chr7:155501257-155533844,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNPY2,CNPY2,CNPY2,chr12:56310428-56334053,WT,DSL3,OK,65.3829,63.1808,-0.0494272,-0.232616,0.6912,0.762416,no
CNPY3,CNPY3,CNPY3,chr6:42929121-42939270,WT,DSL3,OK,19.8192,25.6242,0.370609,1.52087,0.0093,0.0206035,yes
CNPY4,CNPY4,CNPY4,chr7:100092727-100125505,WT,DSL3,OK,9.14853,10.205,0.157664,0.174433,0.76395,0.820135,no
CNR1,CNR1,CNR1,chr6:88139865-88166048,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNR2,CNR2,CNR2,chr1:23873969-23913327,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNRIP1,CNRIP1,CNRIP1,chr2:68284170-68320051,WT,DSL3,OK,1.37777,7.17467,2.38058,3.40337,5.00E-05,0.000189718,yes
CNST,CNST,CNST,chr1:246566336-246668582,WT,DSL3,OK,2.95545,3.79316,0.360023,0.864457,0.13225,0.201186,no
CNTD1,CNTD1,CNTD1,chr17:42798835-42824292,WT,DSL3,NOTEST,0.553432,0.440044,-0.330759,0,1,1,no
CNTD2,CNTD2,CNTD2,chr19:40222207-40226690,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNTF,CNTF,CNTF,chr11:58579113-58625732,WT,DSL3,NOTEST,1.64497,0.849406,-0.953536,0,1,1,no
CNTFR,CNTFR,CNTFR,chr9:34551431-34590140,WT,DSL3,NOTEST,0.0699516,0.0643186,-0.12112,0,1,1,no
CNTFR-AS1,CNTFR-AS1,CNTFR-AS1,chr9:34551431-34590140,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNTLN,CNTLN,CNTLN,chr9:17134990-17503923,WT,DSL3,OK,8.00897,11.2083,0.484882,2.33182,0.00015,0.000523084,yes
CNTN1,CNTN1,CNTN1,chr12:40692441-41072411,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNTN2,CNTN2,CNTN2,chr1:205043211-205078043,WT,DSL3,NOTEST,0.0145477,0.0302161,1.05452,0,1,1,no
CNTN3,CNTN3,CNTN3,chr3:74262568-74521140,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNTN4,CNTN4,CNTN4,chr3:2098865-3061145,WT,DSL3,NOTEST,0.07681,2.13169,4.79456,0,1,1,no
CNTN4-AS1,CNTN4-AS1,CNTN4-AS1,chr3:2098865-3061145,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNTN4-AS2,CNTN4-AS2,CNTN4-AS2,chr3:2098865-3061145,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNTN5,CNTN5,CNTN5,chr11:99020975-100358885,WT,DSL3,NOTEST,0,0.364536,inf,0,1,1,no
CNTN6,CNTN6,CNTN6,chr3:1092657-1403608,WT,DSL3,NOTEST,0,0.0296269,inf,0,1,1,no
CNTNAP1,CNTNAP1,CNTNAP1,chr17:42682613-42699993,WT,DSL3,OK,4.55718,5.71886,0.327586,1.25793,0.0309,0.058761,no
CNTNAP2,CNTNAP2,CNTNAP2,chr7_KI270808v1_alt:2412-204591,WT,DSL3,NOTEST,0.00937068,0.953607,6.6691,0,1,1,no
CNTNAP3,CNTNAP3,CNTNAP3,chr9:39072766-39288303,WT,DSL3,NOTEST,0.971712,0.170138,-2.51382,0,1,1,no
CNTNAP3B,CNTNAP3B,CNTNAP3B,chr9:41891889-42129504,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNTNAP3P2,CNTNAP3P2,CNTNAP3P2,chr9:67059459-67294592,WT,DSL3,NOTEST,0.0222454,0,#NAME?,0,1,1,no
CNTNAP4,CNTNAP4,CNTNAP4,chr16:76277277-76559238,WT,DSL3,NOTEST,0,0,0,0,1,1,no
CNTNAP5,CNTNAP5,CNTNAP5,chr2:124025286-124915377,WT,DSL3,NOTEST,0,0.0719845,inf,0,1,1,no
CNTRL,CNTRL,CNTRL,chr9:121088295-121177608,WT,DSL3,OK,4.68084,4.74507,0.0196609,0.0912109,0.8763,0.907908,no
CNTROB,CNTROB,CNTROB,chr17:7932123-7949919,WT,DSL3,OK,13.5239,11.8099,-0.195513,-0.916523,0.10465,0.165822,no
COA1,COA1,COA1,chr7:43631151-43729541,WT,DSL3,OK,20.1506,25.313,0.329058,1.18148,0.0405,0.0740803,no
COA3,COA3,COA3,chr17:42797617-42798725,WT,DSL3,OK,27.5394,23.7777,-0.211886,-0.659639,0.257,0.345692,no
COA4,COA4,COA4,chr11:73872667-73927736,WT,DSL3,OK,108.381,83.7061,-0.372702,-1.78746,0.0037,0.00918532,yes
COA5,COA5,COA5,chr2:98599322-98608518,WT,DSL3,OK,3.22629,3.90033,0.273719,0.579196,0.30845,0.402513,no
COA6,COA6,COA6,chr1:234372806-234384049,WT,DSL3,OK,36.6528,28.847,-0.345501,-1.0654,0.0631,0.107757,no
COA7,COA7,COA7,chr1:52686341-52698366,WT,DSL3,OK,14.4299,16.6212,0.203972,0.846203,0.1518,0.225326,no
COASY,COASY,COASY,chr17:42562073-42566281,WT,DSL3,OK,11.8005,13.7483,0.220411,0.808116,0.1569,0.231772,no
COBL,COBL,COBL,chr7:51016211-51316818,WT,DSL3,NOTEST,0,0,0,0,1,1,no
COBLL1,COBLL1,COBLL1,chr2:164680184-164849396,WT,DSL3,NOTEST,2.11333,3.36656,0.671752,0,1,1,no
COCH,COCH,COCH,chr14:30874534-30890616,WT,DSL3,NOTEST,2.31245,1.45988,-0.66358,0,1,1,no
COG1,COG1,COG1,chr17:73193033-73261880,WT,DSL3,OK,5.16141,7.54818,0.548363,1.1447,0.05485,0.0957313,no
COG2,COG2,COG2,chr1:230642455-230693985,WT,DSL3,OK,4.27203,3.62665,-0.236286,-0.735096,0.21415,0.298881,no
COG3,COG3,COG3,chr13:45464894-45536698,WT,DSL3,OK,2.1342,6.99531,1.71269,5.60087,5.00E-05,0.000189718,yes
COG4,COG4,COG4,chr16:70480568-70523554,WT,DSL3,OK,14.1868,16.9202,0.254199,1.13995,0.0561,0.0976441,no
COG5,COG5,COG5,chr7:107168960-107578523,WT,DSL3,OK,5.01267,4.77296,-0.0706953,-0.174948,0.77025,0.824704,no
COG6,COG6,COG6,chr13:39655626-39791665,WT,DSL3,OK,1.83057,7.78741,2.08885,5.7551,5.00E-05,0.000189718,yes
COG7,COG7,COG7,chr16:23388492-23453191,WT,DSL3,OK,4.23931,3.31821,-0.353421,-0.951564,0.0974,0.156118,no
COG8,COG8,COG8,chr16:69328620-69343110,WT,DSL3,OK,10.9458,8.59615,-0.348621,-0.801259,0.1981,0.280539,no
COIL,COIL,COIL,chr17:56938199-56961050,WT,DSL3,OK,5.73409,6.20099,0.112933,0.391933,0.52125,0.612138,no
COL10A1,COL10A1,COL10A1,chr6:116100835-116245690,WT,DSL3,NOTEST,0.471686,0.139276,-1.75988,0,1,1,no
COL11A1,COL11A1,COL11A1,chr1:102876466-103108496,WT,DSL3,NOTEST,0,0,0,0,1,1,no
COL11A2,COL11A2,COL11A2,chr6_GL000256v2_alt:4611337-4638116,WT,DSL3,NOTEST,0,0.137987,inf,0,1,1,no
COL12A1,COL12A1,COL12A1,chr6:75084325-75205907,WT,DSL3,OK,7.68911,23.1612,1.59082,8.38879,5.00E-05,0.000189718,yes
COL13A1,COL13A1,COL13A1,chr10:69801887-69959148,WT,DSL3,NOTEST,0.427676,1.25181,1.54943,0,1,1,no
COL14A1,COL14A1,COL14A1,chr8:120125107-120372034,WT,DSL3,NOTEST,0.0248449,0.0606332,1.28716,0,1,1,no
COL15A1,COL15A1,COL15A1,chr9:98943712-99070792,WT,DSL3,OK,0.678731,15.3859,4.50263,9.99148,5.00E-05,0.000189718,yes
COL16A1,COL16A1,COL16A1,chr1:31652246-31704167,WT,DSL3,NOTEST,0.492621,1.88764,1.93804,0,1,1,no
COL17A1,COL17A1,COL17A1,chr10:104031287-104085880,WT,DSL3,NOTEST,0.130345,0.166244,0.350966,0,1,1,no
COL18A1,COL18A1,COL18A1,chr21:45405136-45513720,WT,DSL3,OK,4.31345,1.96457,-1.13463,-2.92214,5.00E-05,0.000189718,yes
COL18A1-AS1,COL18A1-AS1,COL18A1-AS1,chr21:45405136-45513720,WT,DSL3,NOTEST,0.0535347,0.0338664,-0.660619,0,1,1,no
COL18A1-AS2,COL18A1-AS2,COL18A1-AS2,chr21:45405136-45513720,WT,DSL3,NOTEST,0,0,0,0,1,1,no
COL19A1,COL19A1,COL19A1,chr6:69866555-70212454,WT,DSL3,NOTEST,0.0802189,0.165313,1.04318,0,1,1,no
COL1A1,COL1A1,COL1A1,chr17:50184095-50201639,WT,DSL3,OK,2.1083,24.0014,3.50897,11.2184,5.00E-05,0.000189718,yes
COL1A2,COL1A2,COL1A2,chr7:94394560-94431232,WT,DSL3,OK,0.875088,65.5326,6.22664,13.2328,5.00E-05,0.000189718,yes
COL20A1,COL20A1,COL20A1,chr20:63293185-63330933,WT,DSL3,NOTEST,0,0,0,0,1,1,no
COL21A1,COL21A1,COL21A1,chr6:56056589-56247580,WT,DSL3,NOTEST,0.613635,0,#NAME?,0,1,1,no
COL22A1,COL22A1,COL22A1,chr8:138588234-138914006,WT,DSL3,NOTEST,0,0,0,0,1,1,no
COL23A1,COL23A1,COL23A1,chr5:178237615-178590555,WT,DSL3,NOTEST,0,0.389933,inf,0,1,1,no
COL24A1,COL24A1,COL24A1,chr1:85729232-86156438,WT,DSL3,NOTEST,0,0.337697,inf,0,1,1,no
COL25A1,COL25A1,COL25A1,chr4:108810720-109302643,WT,DSL3,NOTEST,0,0,0,0,1,1,no
COL26A1,COL26A1,COL26A1,chr7:101362819-101559024,WT,DSL3,NOTEST,0,0,0,0,1,1,no
COL27A1,COL27A1,COL27A1,chr9:114155544-114312516,WT,DSL3,NOTEST,0.17825,0.160631,-0.150148,0,1,1,no
COL28A1,COL28A1,COL28A1,chr7:7358612-7535829,WT,DSL3,NOTEST,0,0.257067,inf,0,1,1,no
COL2A1,COL2A1,COL2A1,chr12:47972964-48004502,WT,DSL3,NOTEST,0,0,0,0,1,1,no
COL3A1,COL3A1,COL3A1,chr2:188974372-189012746,WT,DSL3,OK,13.1568,32.2908,1.29532,6.75371,5.00E-05,0.000189718,yes
COL4A1,COL4A1,COL4A1,chr13:110148957-110307157,WT,DSL3,OK,0.688829,19.7474,4.84137,9.05356,5.00E-05,0.000189718,yes
COL4A2,COL4A2,COL4A2,chr13:110307283-110513026,WT,DSL3,OK,1.20372,36.6149,4.92686,12.8464,5.00E-05,0.000189718,yes
COL4A2-AS1,COL4A2-AS1,COL4A2-AS1,chr13:110307283-110513026,WT,DSL3,NOTEST,0,0.418626,inf,0,1,1,no
COL4A3,COL4A3,COL4A3,chr2:227164564-227357836,WT,DSL3,NOTEST,0,0.00737937,inf,0,1,1,no
COL4A3BP,COL4A3BP,COL4A3BP,chr5:75371102-75599821,WT,DSL3,OK,5.76464,3.78545,-0.606767,-1.91041,0.00115,0.00325766,yes
COL4A4,COL4A4,COL4A4,chr2:227002710-227164559,WT,DSL3,NOTEST,0.00906955,0.0447942,2.30421,0,1,1,no
COL4A5,COL4A5,COL4A5,chrX:108439843-108697545,WT,DSL3,OK,19.387,9.58225,-1.01666,-5.68145,5.00E-05,0.000189718,yes
COL4A6,COL4A6,COL4A6,chrX:108155606-108439497,WT,DSL3,NOTEST,2.74718,1.66171,-0.72528,0,1,1,no
COL5A1,COL5A1,COL5A1,chr9:134641804-134872618,WT,DSL3,OK,13.2947,18.9337,0.510111,2.7269,5.00E-05,0.000189718,yes
COL5A2,COL5A2,COL5A2,chr2:189031914-189179879,WT,DSL3,OK,11.0402,39.6333,1.84395,9.72056,5.00E-05,0.000189718,yes
COL5A3,COL5A3,COL5A3,chr19:9959560-10010471,WT,DSL3,NOTEST,0,0,0,0,1,1,no
COL6A1,COL6A1,COL6A1,chr21:45981748-46005049,WT,DSL3,OK,11.0885,31.6039,1.51103,7.13494,5.00E-05,0.000189718,yes
COL6A2,COL6A2,COL6A2,chr21:46098118-46132849,WT,DSL3,OK,7.56164,22.9961,1.60462,6.19713,5.00E-05,0.000189718,yes
